mesh,mode,radius_m,curvature_1pm,load_case,w_center_mm,electric_span,magnetic_span,theta_span_K,center_node_id,center_coord_1,center_coord_2,center_coord_3,case_file,status,w_change_from_previous_pct,electric_change_from_previous_pct,magnetic_change_from_previous_pct,theta_change_from_previous_pct,mesh_gate_20_to_30
20,X,0.4,2.5,magneto,0.371984226608921,175.30699751159,0.0603777296785257,1.21325904032372,641,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_X_Vf0.6_R0.4m-20x20-10layer.txt,completed_corrected_pyro,0.0407433241897471,0.0108635826124125,0.0108603448223588,0.0108625219223418,
30,X,0.4,2.5,magneto,0.371978537971279,175.298999800129,0.0603749755853624,1.21320369271729,1411,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R0.4m-30x30-10layer.txt,completed_corrected_pyro,0.00152929189759805,0.00456232578059228,0.00456164683562188,0.00456210336007428,pass
10,U,0.3,3.33333333333333,elastic,-1.88203157190821,341.128813375772,0.134292594234972,2.27583751756783,171,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_U_Vf0.6_R0.3m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,U,0.3,3.33333333333333,elastic,-1.88198074691323,341.062570030327,0.134266453177714,2.27539542187117,641,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_U_Vf0.6_R0.3m-20x20-10layer.txt,completed_corrected_pyro,0.00270061184543752,0.0194226371539721,0.0194695373559999,0.0194294008158119,
30,U,0.3,3.33333333333333,elastic,-1.88188007841677,341.065673558604,0.134267662077415,2.27541609557544,1411,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.3m-30x30-10layer.txt,completed_corrected_pyro,0.00534935767770321,0.000909950346105888,0.000900365495538056,0.00090856807728643,pass
10,U,0.3,3.33333333333333,electro,-0.0629353992705329,29.1938872635083,0.0114935873610481,0.194768672523356,171,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_U_Vf0.6_R0.3m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,U,0.3,3.33333333333333,electro,-0.0629104007522077,29.1893396189071,0.0114917994401637,0.194738338714933,641,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_U_Vf0.6_R0.3m-20x20-10layer.txt,completed_corrected_pyro,0.0397367017636161,0.0155798132488666,0.0155582325788995,0.0155767008300265,
30,U,0.3,3.33333333333333,electro,-0.0629096245772438,29.1876966454254,0.0114911531100166,0.194727378760743,1411,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.3m-30x30-10layer.txt,completed_corrected_pyro,0.00123379366689027,0.00562899327636701,0.00562458911573881,0.00562835809723288,pass
10,U,0.3,3.33333333333333,magneto,0.210260898004945,97.5338684336825,0.0383989301385275,0.650702727918022,171,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_U_Vf0.6_R0.3m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,U,0.3,3.33333333333333,magneto,0.210177380446943,97.5186752062471,0.0383929568730208,0.650601385686872,641,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_U_Vf0.6_R0.3m-20x20-10layer.txt,completed_corrected_pyro,0.0397367013635733,0.0155798132032361,0.0155582325332614,0.0155767007847671,
30,U,0.3,3.33333333333333,magneto,0.210174787319197,97.5131861946997,0.0383907975480646,0.650564769566296,1411,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.3m-30x30-10layer.txt,completed_corrected_pyro,0.00123379582255276,0.00562899415104439,0.00562458999060641,0.00562835897190342,pass
10,X,0.3,3.33333333333333,elastic,-1.60072897433972,291.746450020417,0.100478179367589,2.01909217850195,171,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.3m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,X,0.3,3.33333333333333,elastic,-1.60074838727911,291.681709992808,0.100455872633087,2.01864406505905,641,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_X_Vf0.6_R0.3m-20x20-10layer.txt,completed_corrected_pyro,0.00121274146169868,0.0221954361178791,0.0222055056785734,0.0221987348169427,
30,X,0.3,3.33333333333333,elastic,-1.60068091781808,291.682323332265,0.100456081890646,2.01864829678158,1411,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R0.3m-30x30-10layer.txt,completed_corrected_pyro,0.00421504750127443,0.000210276526108924,0.000208307506328475,0.000209631491463431,pass
10,X,0.3,3.33333333333333,electro,-0.0516614356319644,24.0239955020809,0.0082740479419447,0.166263903344809,171,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.3m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,X,0.3,3.33333333333333,electro,-0.0516394877913337,24.0209867153608,0.00827301211278882,0.16624308306955,641,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_X_Vf0.6_R0.3m-20x20-10layer.txt,completed_corrected_pyro,0.0425020494381988,0.0125256583160167,0.0125205806755655,0.01252399490829,
30,X,0.3,3.33333333333333,electro,-0.051638443482923,24.0197559035043,0.00827258829283276,0.166234565470436,1411,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R0.3m-30x30-10layer.txt,completed_corrected_pyro,0.00202234680271171,0.0051241647145865,0.00512318443831465,0.00512384358175919,pass
10,X,0.3,3.33333333333333,magneto,0.371689471924303,172.845878022399,0.0595294434350431,1.19622193379847,171,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.3m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,X,0.3,3.33333333333333,magneto,0.371531563403711,172.824230651617,0.059521990936781,1.19607213779754,641,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_X_Vf0.6_R0.3m-20x20-10layer.txt,completed_corrected_pyro,0.0425020472407113,0.0125256572532604,0.0125205796123632,0.012523993845877,
30,X,0.3,3.33333333333333,magneto,0.371524049909121,172.81537530923,0.0595189416723449,1.19601085608655,1411,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R0.3m-30x30-10layer.txt,completed_corrected_pyro,0.00202234406951556,0.00512416350185708,0.00512318322601857,0.00512384236934954,pass
10,U,0.2,5,elastic,-1.68109011084821,322.629992080209,0.126987827485634,2.15236828042013,171,0.15,0.75,0.2,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_U_Vf0.6_R0.2m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,U,0.2,5,elastic,-1.6811046053015,322.572154579073,0.126964956310291,2.15198216828783,641,0.15,0.75,0.2,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_U_Vf0.6_R0.2m-20x20-10layer.txt,completed_corrected_pyro,0.000862198178765244,0.0179300972867409,0.0180137701044867,0.017942162253457,
30,U,0.2,5,elastic,-1.68102664477312,322.575961519778,0.126966434037558,2.15200751504009,1411,0.15,0.75,0.2,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.2m-30x30-10layer.txt,completed_corrected_pyro,0.00463767356832599,0.00118016875377105,0.00116387238748314,0.00117781894714765,pass
10,U,0.2,5,electro,-0.0617398777978802,28.7198746850602,0.0113056033483225,0.191602932268047,171,0.15,0.75,0.2,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_U_Vf0.6_R0.2m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,U,0.2,5,electro,-0.0617153824676679,28.7145081672929,0.01130349575708,0.191567141945381,641,0.15,0.75,0.2,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_U_Vf0.6_R0.2m-20x20-10layer.txt,completed_corrected_pyro,0.0396908019246809,0.0186892205711271,0.0186454817854069,0.0186829131042824,
30,U,0.2,5,electro,-0.0617144754361697,28.7125845293164,0.0113027394650166,0.191554310830261,1411,0.15,0.75,0.2,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.2m-30x30-10layer.txt,completed_corrected_pyro,0.00146972244648383,0.00669963365553406,0.00669122796060121,0.00669842148919135,pass
10,U,0.2,5,magneto,0.206266779887712,95.9502396401906,0.037770894282933,0.640126305162664,171,0.15,0.75,0.2,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_U_Vf0.6_R0.2m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
