case_id,status,center_node_id,old_w_center_mm,new_w_center_mm,diff_w_center_mm,message
V_Vf10_elastic,ok,1411,-0.222625630909079,-1.30716838731253,-1.08454275640345,
V_Vf10_electro,ok,1411,-0.000521685551658935,-0.00413902587664456,-0.00361734032498563,
V_Vf10_magneto,ok,1411,0.142342482412816,1.13015348074678,0.987810998333967,
V_Vf20_elastic,ok,1411,-0.231227369643366,-1.35811635589464,-1.12688898625127,
V_Vf20_electro,ok,1411,-0.00103257910041916,-0.00818009388638572,-0.00714751478596656,
V_Vf20_magneto,ok,1411,0.135564130606972,1.07576015679433,0.940196026187354,
V_Vf30_elastic,ok,1411,-0.24059531913051,-1.41362691172077,-1.17303159259026,
V_Vf30_electro,ok,1411,-0.00152802408953876,-0.012083668260954,-0.0105556441714152,
V_Vf30_magneto,ok,1411,0.127838850475493,1.01398297257779,0.886144122102294,
V_Vf40_elastic,ok,1411,-0.250926559382635,-1.47487786507123,-1.2239513056886,
V_Vf40_electro,ok,1411,-0.00200367548008112,-0.0158142557592216,-0.0138105802791405,
V_Vf40_magneto,ok,1411,0.119068650872641,0.94417656349948,0.825107912626839,
V_Vf50_elastic,ok,1411,-0.262476725166971,-1.54339825755295,-1.28092153238598,
V_Vf50_electro,ok,1411,-0.00245191279431997,-0.0193111244229884,-0.0168592116286684,
V_Vf50_magneto,ok,1411,0.109054284290263,0.864926087544059,0.755871803253796,
V_Vf60_elastic,ok,1411,-0.275521405462347,-1.6208393704038,-1.34531796494145,
V_Vf60_electro,ok,1411,-0.00286920529761942,-0.0225463571541965,-0.0196771518565771,
V_Vf60_magneto,ok,1411,0.0975218818918318,0.774198029466385,0.676676147574553,
V_Vf70_elastic,ok,1411,-0.290498038216905,-1.70982136304874,-1.41932332483183,
V_Vf70_electro,ok,1411,-0.00324292112499349,-0.0254213646681511,-0.0221784435431577,
V_Vf70_magneto,ok,1411,0.0840931117263632,0.669237100647397,0.585143988921034,
V_Vf80_elastic,ok,1411,-0.307876766754312,-1.81316755179871,-1.5052907850444,
V_Vf80_electro,ok,1411,-0.00356382155867432,-0.027865275770097,-0.0243014542114227,
V_Vf80_magneto,ok,1411,0.0682360692552349,0.546075296993472,0.477839227738237,
V_Vf90_elastic,ok,1411,-0.328421459374948,-1.93546851562113,-1.60704705624618,
V_Vf90_electro,ok,1411,-0.00381362979157183,-0.0297376902314566,-0.0259240604398847,
V_Vf90_magneto,ok,1411,0.0492006010711357,0.399222420152843,0.350021819081707,
X_Vf10_elastic,ok,1411,-0.226534318320451,-1.33031584008413,-1.10378152176368,
X_Vf10_electro,ok,1411,-0.000945040728633786,-0.00750115361786119,-0.00655611288922741,
X_Vf10_magneto,ok,1411,0.135610686335611,1.07639444483733,0.940783758501722,
X_Vf20_elastic,ok,1411,-0.239485543623292,-1.40703021153335,-1.16754466791005,
X_Vf20_electro,ok,1411,-0.00188230782537341,-0.0149246364184471,-0.0130423285930737,
X_Vf20_magneto,ok,1411,0.121109306133137,0.960263957124908,0.839154650991771,
X_Vf30_elastic,ok,1411,-0.253688367230894,-1.49119362363557,-1.23750525640467,
X_Vf30_electro,ok,1411,-0.00280462837549614,-0.0222086564951096,-0.0194040281196135,
X_Vf30_magneto,ok,1411,0.104556512728339,0.827938451959497,0.723381939231158,
X_Vf40_elastic,ok,1411,-0.269452083712169,-1.58465320248827,-1.3152011187761,
X_Vf40_electro,ok,1411,-0.0037011853414281,-0.0292644157103465,-0.0255632303689184,
X_Vf40_magneto,ok,1411,0.0855928393234509,0.676762766711005,0.591169927387554,
X_Vf50_elastic,ok,1411,-0.287219801803958,-1.69005231184634,-1.40283251004238,
X_Vf50_electro,ok,1411,-0.00456541649346244,-0.0360382294570868,-0.0314728129636243,
X_Vf50_magneto,ok,1411,0.0638414550892745,0.503948108716469,0.440106653627195,
X_Vf60_elastic,ok,1411,-0.307488351876968,-1.81035762011644,-1.50286926823947,
