case_id,fg_mode,vf0,e0,porosity_name,porosity_mode,load_case,input_file,w_center_mm,theta_mean_K,theta_min_K,theta_max_K,theta_span_K,magnetoelectric_efficiency,load_scale,volt,magnetic,status,message,output_mat,w_abs_mm,w_abs_baseline_mm,theta_span_baseline_K,me_eff_baseline,w_abs_ratio,theta_span_ratio,me_eff_ratio
U_Vf30_e40_Uneven_electro,U,0.3,0.4,Uneven,2,electro,cases/porous/Porous_CFFF_U_Vf0.3_e40_Uneven-30x30-10layer.txt,-0.0265154640507156,4.57966997657877e-17,-0.0767103928606941,0.0767103928606942,0.153420785721388,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf30_e40_Uneven_electro.mat,0.0265154640507156,0.0257671886411594,0.146772043618161,,1.0290398545210686,1.04529978556764,
U_Vf30_e40_Uneven_magneto,U,0.3,0.4,Uneven,2,magneto,cases/porous/Porous_CFFF_U_Vf0.3_e40_Uneven-30x30-10layer.txt,0.892613308483499,-1.6431300764452302e-15,-2.58236919554002,2.58236919554001,5.16473839108003,3.4456063764289,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf30_e40_Uneven_magneto.mat,0.892613308483499,0.817113584188816,4.65434674647786,3.55667607184001,1.0923980775201956,1.1096591363736286,0.9687714896809119
U_Vf50_e40_Uneven_elastic,U,0.5,0.4,Uneven,2,elastic,cases/porous/Porous_CFFF_U_Vf0.5_e40_Uneven-30x30-10layer.txt,-2.16372895827394,2.9309887850104103e-15,-1.22774271928725,1.22774271928726,2.45548543857452,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf50_e40_Uneven_elastic.mat,2.16372895827394,1.9131032144379,2.14288722562661,,1.131004820829637,1.1458771181280911,
U_Vf50_e40_Uneven_electro,U,0.5,0.4,Uneven,2,electro,cases/porous/Porous_CFFF_U_Vf0.5_e40_Uneven-30x30-10layer.txt,-0.0446709078284227,1.13797860024079e-16,-0.106037919443467,0.106037919443467,0.212075838886934,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf50_e40_Uneven_electro.mat,0.0446709078284227,0.0433953642985694,0.202825561024252,,1.0293935435379062,1.0456070616344846,
U_Vf50_e40_Uneven_magneto,U,0.5,0.4,Uneven,2,magneto,cases/porous/Porous_CFFF_U_Vf0.5_e40_Uneven-30x30-10layer.txt,0.475743461129683,-1.22124532708767e-15,-1.12929978946119,1.12929978946118,2.25859957892237,1.55597674471651,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf50_e40_Uneven_magneto.mat,0.475743461129683,0.434937990959423,2.03285635346628,1.61118252504524,1.093819052413076,1.1110473079276697,0.9657358620326522
U_Vf70_e40_Uneven_elastic,U,0.7,0.4,Uneven,2,elastic,cases/porous/Porous_CFFF_U_Vf0.7_e40_Uneven-30x30-10layer.txt,-2.71234913326415,1.5543122344752201e-15,-1.35628346593974,1.35628346593974,2.71256693187948,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf70_e40_Uneven_elastic.mat,2.71234913326415,2.39618190365557,2.36672270307115,,1.1319462554684356,1.146127904363088,
U_Vf70_e40_Uneven_electro,U,0.7,0.4,Uneven,2,electro,cases/porous/Porous_CFFF_U_Vf0.7_e40_Uneven-30x30-10layer.txt,-0.062878918981603,8.04911692853238e-17,-0.127155784615226,0.127155784615226,0.254311569230453,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf70_e40_Uneven_electro.mat,0.062878918981603,0.0610890543438299,0.243428177419954,,1.0292992690261522,1.044708841539422,
U_Vf70_e40_Uneven_magneto,U,0.7,0.4,Uneven,2,magneto,cases/porous/Porous_CFFF_U_Vf0.7_e40_Uneven-30x30-10layer.txt,-0.170698784630352,2.16493489801906e-16,-0.345192605778594,0.345192605778595,0.690385211557189,0.46132335858276,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf70_e40_Uneven_magneto.mat,0.170698784630352,0.155952885901855,0.621442371122425,0.480139236691404,1.094553548292636,1.110940038269747,0.9608116215656473
U_Vf90_e40_Uneven_elastic,U,0.9,0.4,Uneven,2,elastic,cases/porous/Porous_CFFF_U_Vf0.9_e40_Uneven-30x30-10layer.txt,-3.63675714447088,-4.46309655899313e-15,-1.65076337643444,1.65076337643443,3.30152675286887,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf90_e40_Uneven_elastic.mat,3.63675714447088,3.20991999537892,2.88084200820709,,1.1329743886783612,1.1460283984554904,
U_Vf90_e40_Uneven_electro,U,0.9,0.4,Uneven,2,electro,cases/porous/Porous_CFFF_U_Vf0.9_e40_Uneven-30x30-10layer.txt,-0.0804978257453415,-1.88737914186277e-16,-0.140634973718691,0.14063497371869,0.281269947437381,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf90_e40_Uneven_electro.mat,0.0804978257453415,0.0782418831995812,0.26968680989294,,1.0288329275000423,1.0429503302332035,
U_Vf90_e40_Uneven_magneto,U,0.9,0.4,Uneven,2,magneto,cases/porous/Porous_CFFF_U_Vf0.9_e40_Uneven-30x30-10layer.txt,-1.29335292228553,-2.79776202205539e-15,-2.25957226244459,2.25957226244458,4.51914452488917,2.74437677687805,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf90_e40_Uneven_magneto.mat,1.29335292228553,1.18062714967801,4.06942620297376,2.87496844086013,1.0954795700219695,1.1105114823280924,0.954576313907985
U_Vf10_e40_LogUneven_elastic,U,0.1,0.4,LogUneven,3,elastic,cases/porous/Porous_CFFF_U_Vf0.1_e40_LogUneven-30x30-10layer.txt,-2.05351526268655,1.84297022087776e-15,-1.8351982309648,1.8351982309648,3.6703964619296,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf10_e40_LogUneven_elastic.mat,2.05351526268655,1.35667112293398,2.32953949939677,,1.5136426418847573,1.5755888504487872,
U_Vf10_e40_LogUneven_electro,U,0.1,0.4,LogUneven,3,electro,cases/porous/Porous_CFFF_U_Vf0.1_e40_LogUneven-30x30-10layer.txt,-0.0031446548369139,6.0715321659188194e-18,-0.0123073457779822,0.0123073457779822,0.0246146915559643,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf10_e40_LogUneven_electro.mat,0.0031446548369139,0.0084504467203211,0.0632699024410006,,0.37212882833186,0.3890426665177425,
U_Vf10_e40_LogUneven_magneto,U,0.1,0.4,LogUneven,3,magneto,cases/porous/Porous_CFFF_U_Vf0.1_e40_LogUneven-30x30-10layer.txt,0.902007996570939,-1.82076576038526e-15,-3.5302202894655,3.5302202894655,7.060440578931,4.97820439964717,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf10_e40_LogUneven_magneto.mat,0.902007996570939,1.07957650011938,8.08296911403158,5.40692244063206,0.8355202215602087,0.8734959244956748,0.9207094154406302
U_Vf30_e40_LogUneven_elastic,U,0.3,0.4,LogUneven,3,elastic,cases/porous/Porous_CFFF_U_Vf0.3_e40_LogUneven-30x30-10layer.txt,-2.4148315775068,-1.9095836023552704e-15,-1.67384842267571,1.67384842267571,3.34769684535142,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf30_e40_LogUneven_elastic.mat,2.4148315775068,1.59071475196702,2.11829630775337,,1.5180795768196071,1.5803723176489564,
U_Vf30_e40_LogUneven_electro,U,0.3,0.4,LogUneven,3,electro,cases/porous/Porous_CFFF_U_Vf0.3_e40_LogUneven-30x30-10layer.txt,-0.0095428013705542,-1.21430643318376e-17,-0.0284161865293391,0.0284161865293391,0.0568323730586782,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf30_e40_LogUneven_electro.mat,0.0095428013705542,0.0257671886411594,0.146772043618161,,0.3703470139272757,0.3872152465665197,
U_Vf30_e40_LogUneven_magneto,U,0.3,0.4,LogUneven,3,magneto,cases/porous/Porous_CFFF_U_Vf0.3_e40_LogUneven-30x30-10layer.txt,0.685162071427239,1.02140518265514e-15,-2.04024923798128,2.04024923798128,4.08049847596256,3.07668290965016,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf30_e40_LogUneven_magneto.mat,0.685162071427239,0.817113584188816,4.65434674647786,3.55667607184001,0.8385150910291487,0.8767070221079779,0.865044453727401
U_Vf50_e40_LogUneven_elastic,U,0.5,0.4,LogUneven,3,elastic,cases/porous/Porous_CFFF_U_Vf0.5_e40_LogUneven-30x30-10layer.txt,-2.911822154331,1.7319479184152402e-15,-1.69726358648324,1.69726358648324,3.39452717296647,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf50_e40_LogUneven_elastic.mat,2.911822154331,1.9131032144379,2.14288722562661,,1.5220413265504544,1.584090442264811,
U_Vf50_e40_LogUneven_electro,U,0.5,0.4,LogUneven,3,electro,cases/porous/Porous_CFFF_U_Vf0.5_e40_LogUneven-30x30-10layer.txt,-0.0159768330833312,2.2898349882893905e-17,-0.0390227205148577,0.0390227205148578,0.0780454410297155,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf50_e40_LogUneven_electro.mat,0.0159768330833312,0.0433953642985694,0.202825561024252,,0.36816911994118007,0.3847909535444773,
U_Vf50_e40_LogUneven_magneto,U,0.5,0.4,LogUneven,3,magneto,cases/porous/Porous_CFFF_U_Vf0.5_e40_LogUneven-30x30-10layer.txt,0.365649568660342,-5.99520433297585e-16,-0.89308318177989,0.893083181779889,1.78616636355978,1.36201884126528,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf50_e40_LogUneven_magneto.mat,0.365649568660342,0.434937990959423,2.03285635346628,1.61118252504524,0.8406935615207153,0.8786485874981466,0.8453535338753977
U_Vf70_e40_LogUneven_elastic,U,0.7,0.4,LogUneven,3,elastic,cases/porous/Porous_CFFF_U_Vf0.7_e40_LogUneven-30x30-10layer.txt,-3.65645341939394,2.08721928629529e-15,-1.87585542320875,1.87585542320876,3.75171084641751,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf70_e40_LogUneven_elastic.mat,3.65645341939394,2.39618190365557,2.36672270307115,,1.525949851226121,1.58519240194432,
U_Vf70_e40_LogUneven_electro,U,0.7,0.4,LogUneven,3,electro,cases/porous/Porous_CFFF_U_Vf0.7_e40_LogUneven-30x30-10layer.txt,-0.0223521437040488,1.87350135405495e-17,-0.0464434909135884,0.0464434909135885,0.0928869818271769,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf70_e40_LogUneven_electro.mat,0.0223521437040488,0.0610890543438299,0.243428177419954,,0.3658944133959475,0.38157859460505855,
