time_s,w_center_mm,theta_span_K
0.0143,-2.17331270486824,2.6144640165054
0.0144,-2.07446720165434,2.54071912569074
0.0145,-1.9770375892934,2.45606044162894
0.0146,-1.88212804500697,2.35425659651743
0.0147,-1.79097582677813,2.2422756616616
0.0148,-1.70404450037449,2.13004791381128
0.0149,-1.62107769460419,2.01398529107114
0.015,-1.54156853674769,1.89126662724084
0.0151,-1.46522585012628,1.76870060311356
0.0152,-1.3923534680696,1.6512162551863
0.0153,-1.32364977030077,1.54148574756751
0.0154,-1.25874612516414,1.43782631947073
0.0155,-1.19622785374966,1.33641983007334
0.0156,-1.1350898975883,1.2338553416366
0.0157,-1.07487468154266,1.12554612475565
0.0158,-1.01580177216218,1.01313668014204
0.0159,-0.958447500444017,0.905660467199229
0.016,-0.902488779738102,0.810381056796426
0.0161,-0.846923174355885,0.727495448371485
0.0162,-0.790960404716157,0.650479572773335
0.0163,-0.734554121185167,0.579771738656236
0.0164,-0.678536468883966,0.523933558482009
0.0165,-0.623694176642684,0.479894080725774
0.0166,-0.569935144686777,0.438204506350886
0.0167,-0.516522270124113,0.395051651482703
0.0168,-0.463088891344291,0.346986656617
0.0169,-0.410531134011345,0.292210064641095
0.017,-0.360290987454988,0.235972936441775
0.0171,-0.313304194582576,0.185103328338986
0.0172,-0.269748537729866,0.144201894981502
0.0173,-0.229128800777311,0.111988066059937
0.0174,-0.191250833856553,0.0809723781493424
0.0174999999999999,-0.156709678478537,0.0504863545055784
0.0175999999999999,-0.126422235595936,0.0275024265712091
0.0176999999999999,-0.100923671979176,0.0117577791184393
0.0177999999999999,-0.0799612002788019,0.00642191572001505
0.0178999999999999,-0.0626958936471944,0.0316767478700499
0.0179999999999999,-0.0486201612958036,0.0604056205364429
0.0180999999999999,-0.0385944593791478,0.0873708852746932
0.0181999999999999,-0.0338319579017916,0.107952361018749
0.0182999999999999,-0.0345637867912138,0.117288538468501
0.0183999999999999,-0.0401078968212708,0.111926788794796
0.0184999999999999,-0.0493402103624045,0.0991064886713424
0.0185999999999999,-0.061702392964608,0.0863925387287317
0.0186999999999999,-0.0775987157545935,0.0722166120289498
0.0187999999999999,-0.0974403525466306,0.0551047569614985
0.0188999999999999,-0.121064748116295,0.0336933399066827
0.0189999999999999,-0.147532214631028,0.0151846520613087
0.0190999999999999,-0.175522162727724,0.00679027022242827
0.0191999999999999,-0.204709038577144,0.000490753635285666
0.0192999999999999,-0.235832683039797,0.0168113849619449
0.0193999999999999,-0.269724548316966,0.0437488289861415
0.0194999999999999,-0.306263506210097,0.0813431609128097
0.0195999999999999,-0.344114009654312,0.128995735149683
0.0196999999999999,-0.382183123070354,0.180886177140034
0.0197999999999999,-0.420521634057701,0.231719419728743
0.0198999999999999,-0.459851355886273,0.282544983762501
0.0199999999999999,-0.500689647416279,0.33824110598566
0.0200999999999999,-0.542790236575717,0.399881916781548
0.0201999999999999,-0.585586786491038,0.462346064127754
0.0202999999999999,-0.628903995375853,0.524018377076407
0.0203999999999999,-0.67328319871049,0.593079759337844
0.0204999999999999,-0.719901674878069,0.678413419533526
0.0205999999999999,-0.76993824674788,0.779914573512503
0.0206999999999999,-0.823629348914836,0.889462237852789
0.0207999999999999,-0.880286770250344,1.00020975619594
0.0208999999999999,-0.939632714472522,1.11019494274023
0.0209999999999999,-1.00235729948517,1.21407844092326
0.0210999999999999,-1.06944290692478,1.30957731541486
0.0211999999999999,-1.14144164882788,1.40364585261858
0.0212999999999999,-1.21798250632385,1.49717426578602
0.0213999999999999,-1.2981768474877,1.58441196884745
0.0214999999999999,-1.38157488081776,1.66703904482078
0.0215999999999999,-1.46824811280754,1.75136570094132
0.0216999999999999,-1.55852645148762,1.84380423403587
0.0217999999999999,-1.65232067759404,1.94367388398524
0.0218999999999999,-1.74846700938965,2.03969544822434
0.0219999999999999,-1.84538431331661,2.12648386617287
0.0220999999999999,-1.94181205386634,2.20704282572975
0.0221999999999999,-2.03754243557078,2.28373932926051
0.0222999999999999,-2.13302395200117,2.35948379032721
0.0223999999999999,-2.22781505408065,2.43910021526026
0.0224999999999999,-2.32060529972238,2.52768612870439
0.0225999999999999,-2.41028242775447,2.62468519243045
0.0226999999999999,-2.49660985818464,2.72823654641872
0.0227999999999999,-2.58014269600976,2.8451997503328
0.0228999999999999,-2.66144984661304,2.97974152912383
0.0229999999999999,-2.74058879329442,3.12330026733143
0.0230999999999999,-2.81730850604459,3.2642122820244
0.0231999999999999,-2.89155606776146,3.39832799004016
